"X","Y","backup","siteID"
-82.4066958416039,27.6662103054644,FALSE,1
-82.3929190754542,27.6650915347302,TRUE,2
-82.4304893890701,27.6672969515688,FALSE,3
-82.4152214888063,27.6692743890261,FALSE,4
-82.3946705506551,27.664700386982,FALSE,5
-82.4179863699828,27.671969269247,FALSE,6
-82.4132152410347,27.6685080446436,FALSE,7
-82.4054452112587,27.6666001406505,TRUE,8
-82.4309871847433,27.666523064151,FALSE,9
-82.4187361692851,27.6715808353406,FALSE,10
-82.427988269608,27.6680770384472,TRUE,11
-82.3896651280358,27.6654868928364,TRUE,12
-82.4302374639709,27.6669115637513,TRUE,13
-82.4227399624931,27.670796338765,FALSE,14
-82.4239816340402,27.6680893540864,FALSE,15
-82.5148501046793,27.4934033542138,FALSE,16
-82.5267657676694,27.4970343791396,TRUE,17
-82.4933187014465,27.4677519001257,FALSE,18
-82.4975605391718,27.4851960769144,TRUE,19
-82.5243860572311,27.4970433668541,FALSE,20
-82.4926789895899,27.4576461434264,FALSE,21
-82.4975522804295,27.4833582908003,FALSE,22
-82.5118713086674,27.4924954365888,FALSE,23
-82.493294157011,27.4622385229587,TRUE,24
-82.4908582146235,27.4493823601568,FALSE,25
-82.5088841114318,27.4897496732008,TRUE,26
-82.526183948748,27.4997932910985,FALSE,27
-82.4933023377133,27.4640763158351,FALSE,28
-82.4890863492569,27.4521453302073,FALSE,29
-82.4999317066911,27.4833497658499,TRUE,30
